Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,02/18/2025,"ORIG CO NAME:PAYPAL                 ORIG ID:PAYPALSI77 DESC DATE:250216 CO ENTRY DESCR:INST XFER SEC:WEB    TRACE#:091000018864623 EED:250218   IND ID:PLAYSTATION                  IND NAME:BOODAH  INC                                                                                                  INSTANT TRANSFER TRN: 0498864623TC",-23.09,MISC_DEBIT,12195.51,,
DEBIT,02/18/2025,"ORIG CO NAME:BASTIONGPT.COM         ORIG ID:4270465600 DESC DATE:       CO ENTRY DESCR:BASTIONGPTSEC:WEB    TRACE#:111000028936972 EED:250218   IND ID:ST-S5N0E0Q1M9B6              IND NAME:COLLEEN LONG TRN: 0498936972TC",-45.00,MISC_DEBIT,12218.60,,
DEBIT,02/18/2025,"ORIG CO NAME:PAYPAL                 ORIG ID:PAYPALSI77 DESC DATE:250214 CO ENTRY DESCR:INST XFER SEC:WEB    TRACE#:091000016057409 EED:250218   IND ID:MCDONALDS 27923              IND NAME:BOODAH  INC                                                                                                  INSTANT TRANSFER TRN: 0496057409TC",-34.61,MISC_DEBIT,12263.60,,
CREDIT,02/18/2025,"ORIG CO NAME:COMM OF MASS           ORIG ID:A046002284 DESC DATE:250214 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:022000046419011 EED:250218   IND ID:VC0001203281                 IND NAME:BOODAH INC                 TRN*1*0000045I5000489*1046002284*10 6165149\                                      TREVENDOR TRN: 0496419011TC",49.92,ACH_CREDIT,12298.21,,
CREDIT,02/18/2025,"ORIG CO NAME:CIGNA                  ORIG ID:9751677627 DESC DATE:021325 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:091000016461955 EED:250218   IND ID:825169916                    IND NAME:/BOODAH INC                TRN*1*250213090060144*1411648670\ TRN: 0496461955TC",62.00,ACH_CREDIT,12248.29,,
CREDIT,02/18/2025,"ORIG CO NAME:EASYPAY                ORIG ID:1340797057 DESC DATE:250217 CO ENTRY DESCR:MRCHNTSRVSSEC:CCD    TRACE#:041001036106881 EED:250218   IND ID:896246463880                 IND NAME:BOODAH INC TRN: 0496106881TC",130.00,ACH_CREDIT,12186.29,,
CREDIT,02/18/2025,"ORIG CO NAME:Tufts Associated       ORIG ID:1042918943 DESC DATE:250214 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:011500125977344 EED:250218   IND ID:                             IND NAME:BOODAH, INC                TRN*1*006150863*1042918943\ TRN: 0495977344TC",163.56,ACH_CREDIT,12056.29,,
CREDIT,02/18/2025,"ORIG CO NAME:EASYPAY                ORIG ID:1340797057 DESC DATE:250216 CO ENTRY DESCR:MRCHNTSRVSSEC:CCD    TRACE#:041001036106874 EED:250218   IND ID:896246463880                 IND NAME:BOODAH INC TRN: 0496106874TC",192.47,ACH_CREDIT,11892.73,,
CREDIT,02/18/2025,"ORIG CO NAME:EASYPAY                ORIG ID:1340797057 DESC DATE:250215 CO ENTRY DESCR:MRCHNTSRVSSEC:CCD    TRACE#:041001036106864 EED:250218   IND ID:896246463880                 IND NAME:BOODAH INC TRN: 0496106864TC",360.46,ACH_CREDIT,11700.26,,
CREDIT,02/18/2025,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000016935279 EED:250218   IND ID:ST-F5M6J5P1Y1O5              IND NAME:BOODAH INC TRN: 0496935279TC",731.30,ACH_CREDIT,11339.80,,
DEBIT,02/14/2025,"ORIG CO NAME:INTUIT 24251535        ORIG ID:4462800242 DESC DATE:250214 CO ENTRY DESCR:TAX       SEC:CCD    TRACE#:111000028475963 EED:250214   IND ID:9683333                      IND NAME:BOODAH INC TRN: 0458475963TC",-5947.24,ACH_DEBIT,10608.50,,
DEBIT,02/14/2025,"ORIG CO NAME:PAYPAL                 ORIG ID:PAYPALSI77 DESC DATE:250213 CO ENTRY DESCR:INST XFER SEC:WEB    TRACE#:091000016779386 EED:250214   IND ID:BYOUROWNBIL                  IND NAME:BOODAH  INC                                                                                                  INSTANT TRANSFER TRN: 0456779386TC",-45.00,MISC_DEBIT,16555.74,,
DEBIT,02/14/2025,"ORIG CO NAME:STRIPE                 ORIG ID:4270465600 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:111000026557546 EED:250214   IND ID:ST-R1E3F0A7G3K0              IND NAME:BOODAH INC TRN: 0456557546TC",-149.06,ACH_DEBIT,16600.74,,
DEBIT,02/14/2025,"ORIG CO NAME:INTUIT 52117972        ORIG ID:4462800242 DESC DATE:250214 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000026936499 EED:250214   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0456936499TC",-287.77,ACH_DEBIT,16749.80,,
DEBIT,02/14/2025,"ORIG CO NAME:INTUIT 52113332        ORIG ID:4462800242 DESC DATE:250214 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000026943798 EED:250214   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0456943798TC",-294.46,ACH_DEBIT,17037.57,,
DEBIT,02/14/2025,"ORIG CO NAME:PAYROLL                ORIG ID:4462800242 DESC DATE:250214 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000026913629 EED:250214   IND ID:9683333                      IND NAME:BOODAH INC TRN: 0456913629TC",-312.34,ACH_DEBIT,17332.03,,
DEBIT,02/14/2025,"ORIG CO NAME:INTUIT 52117972        ORIG ID:4462800242 DESC DATE:250214 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000026936503 EED:250214   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0456936503TC",-572.71,ACH_DEBIT,17644.37,,
DEBIT,02/14/2025,"ORIG CO NAME:INTUIT 52117972        ORIG ID:4462800242 DESC DATE:250214 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000026936504 EED:250214   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0456936504TC",-671.47,ACH_DEBIT,18217.08,,
DEBIT,02/14/2025,"ORIG CO NAME:INTUIT 52117972        ORIG ID:4462800242 DESC DATE:250214 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000026936501 EED:250214   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0456936501TC",-966.25,ACH_DEBIT,18888.55,,
DEBIT,02/14/2025,"ORIG CO NAME:INTUIT 52113332        ORIG ID:4462800242 DESC DATE:250214 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000026943796 EED:250214   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0456943796TC",-1007.14,ACH_DEBIT,19854.80,,
DEBIT,02/14/2025,"ORIG CO NAME:INTUIT 52117972        ORIG ID:4462800242 DESC DATE:250214 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000026936500 EED:250214   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0456936500TC",-1102.02,ACH_DEBIT,20861.94,,
DEBIT,02/14/2025,"ORIG CO NAME:INTUIT 52117972        ORIG ID:4462800242 DESC DATE:250214 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000026936502 EED:250214   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0456936502TC",-1605.82,ACH_DEBIT,21963.96,,
DEBIT,02/14/2025,"ORIG CO NAME:INTUIT 52113332        ORIG ID:4462800242 DESC DATE:250214 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000026943797 EED:250214   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0456943797TC",-1988.69,ACH_DEBIT,23569.78,,
DEBIT,02/14/2025,"ORIG CO NAME:INTUIT 52113332        ORIG ID:4462800242 DESC DATE:250214 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000026943795 EED:250214   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0456943795TC",-2042.48,ACH_DEBIT,25558.47,,
DEBIT,02/14/2025,"ORIG CO NAME:PAYROLL                ORIG ID:4462800242 DESC DATE:250214 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000026913628 EED:250214   IND ID:9683333                      IND NAME:BOODAH INC TRN: 0456913628TC",-2290.00,ACH_DEBIT,27600.95,,
DEBIT,02/14/2025,"ORIG CO NAME:INTUIT 52113332        ORIG ID:4462800242 DESC DATE:250214 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000026943794 EED:250214   IND ID:9683333                      IND NAME:BOODAH INC- BOSTON PSY TRN: 0456943794TC",-4956.16,ACH_DEBIT,29890.95,,
CREDIT,02/14/2025,"ORIG CO NAME:NGS, INC.              ORIG ID:I351840597 DESC DATE:250212 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:042000016820498 EED:250214   IND ID:1104390525                   IND NAME:BOODAH, INC                TRN*1*896310500*1351840597~                                                       MEDICARE B OF NE TRN: 0456820498TC",92.82,ACH_CREDIT,34847.11,,
CREDIT,02/14/2025,"ORIG CO NAME:WELLPOINT 05C          ORIG ID:0365BA293A DESC DATE:       CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:111000026880535 EED:250214   IND ID:3263741672                   IND NAME:BOODAH  INC                TRN*1*3263741672*1520913817\                                                      EDI PAYMENT TRN: 0456880535TC",95.81,ACH_CREDIT,34754.29,,
CREDIT,02/14/2025,"ORIG CO NAME:HPHC EFT CLEARI        ORIG ID:8042452600 DESC DATE:250212 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:051000017276497 EED:250214   IND ID:                             IND NAME:BOODAH INC                 TRN*1*502433350*1042452600*HPHC\ TRN: 0457276497TC",106.42,ACH_CREDIT,34658.48,,
CREDIT,02/14/2025,"ORIG CO NAME:TUFTS ASSOCIATED       ORIG ID:4800721489 DESC DATE:250212 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:111000026664341 EED:250214   IND ID:                             IND NAME:BOODAH INC                 TRN*1*71187345*1042674079\ TRN: 0456664341TC",1278.55,ACH_CREDIT,34552.06,,
CREDIT,02/13/2025,"ORIG CO NAME:EASYPAY                ORIG ID:1340797057 DESC DATE:250212 CO ENTRY DESCR:MRCHNTSRVSSEC:CCD    TRACE#:041001034044827 EED:250213   IND ID:896246463880                 IND NAME:BOODAH INC TRN: 0444044827TC",135.00,ACH_CREDIT,33273.51,,
CREDIT,02/13/2025,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000013987601 EED:250213   IND ID:ST-O1M1Y5L8H5E2              IND NAME:BOODAH INC TRN: 0443987601TC",193.60,ACH_CREDIT,33138.51,,
CREDIT,02/13/2025,"Zelle payment from MICHAEL GALLICCHIO 23714122257",2000.00,QUICKPAY_CREDIT,32944.91,,
DEBIT,02/12/2025,"ORIG CO NAME:PAYPAL                 ORIG ID:PAYPALSI77 DESC DATE:250212 CO ENTRY DESCR:INST XFER SEC:WEB    TRACE#:021000024804765 EED:250212   IND ID:STARBUCKS                    IND NAME:BOODAH, INC                                                                                                  250212PPZ7TT TRN: 0434804765TC",-40.00,MISC_DEBIT,30944.91,,
DEBIT,02/12/2025,"ORIG CO NAME:KEY MERCHANT SVS       ORIG ID:2580215200 DESC DATE:250211 CO ENTRY DESCR:DISCOUNT  SEC:CCD    TRACE#:041001039499574 EED:250212   IND ID:896246463880                 IND NAME:BOSTON PSYCHOLOGICAL T                                                                                       1-800-304-9856 TRN: 0439499574TC",-4.82,ACH_DEBIT,30984.91,,
DEBIT,02/12/2025,"ORIG CO NAME:AEGON USA              ORIG ID:1420947998 DESC DATE:SEP 05 CO ENTRY DESCR:CONTRIBUTESEC:CCD    TRACE#:091000018410179 EED:250212   IND ID:20250211922BZJ               IND NAME:935014    00000            20250211922BZJ4696945654377560028CO RP TRN: 0438410179TC",-21.72,ACH_DEBIT,30989.73,,
DEBIT,02/12/2025,"ORIG CO NAME:AEGON USA              ORIG ID:1420947998 DESC DATE:SEP 05 CO ENTRY DESCR:CONTRIBUTESEC:CCD    TRACE#:091000018410183 EED:250212   IND ID:20250211922BZ4               IND NAME:935014    00000            20250211922BZ44696945654377560028CO RP TRN: 0438410183TC",-24.92,ACH_DEBIT,31011.45,,
CREDIT,02/12/2025,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000018550766 EED:250212   IND ID:ST-T3R9M6E3U7D7              IND NAME:BOODAH INC TRN: 0438550766TC",726.75,ACH_CREDIT,31036.37,,
CREDIT,02/12/2025,"Online Transfer from CHK ...9759 transaction#: 23706064184",2000.00,ACCT_XFER,30309.62,,
CREDIT,02/12/2025,"Zelle payment from MICHAEL GALLICCHIO 23706151798",2000.00,QUICKPAY_CREDIT,28309.62,,
CREDIT,02/12/2025,"ORIG CO NAME:BCBS OF MASS           ORIG ID:1041045815 DESC DATE:020725 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:091000018511137 EED:250212   IND ID:741612099                    IND NAME:70020000LMG471             TRN*1*741612099*1041045815\ TRN: 0438511137TC",2084.94,ACH_CREDIT,26309.62,,
DEBIT,02/11/2025,"ORIG CO NAME:AEGON USA              ORIG ID:1420947998 DESC DATE:SEP 05 CO ENTRY DESCR:CONTRIBUTESEC:CCD    TRACE#:091000013815393 EED:250211   IND ID:20250207922KFP               IND NAME:935014    00000            20250207922KFP4696945654377560028CO RP TRN: 0423815393TC",-2230.55,ACH_DEBIT,24224.68,,
CREDIT,02/11/2025,"ORIG CO NAME:NGS, INC.              ORIG ID:I351840597 DESC DATE:250207 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:042000014999938 EED:250211   IND ID:1104390525                   IND NAME:BOODAH, INC                TRN*1*896297850*1351840597~                                                       MEDICARE B OF NE TRN: 0424999938TC",76.97,ACH_CREDIT,26455.23,,
CREDIT,02/11/2025,"ORIG CO NAME:Carelon Behav Z        ORIG ID:3043324848 DESC DATE:250207 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:011500125006819 EED:250211   IND ID:                             IND NAME:BOODAH INC                 TRN*1*8101014*1043324848\ TRN: 0425006819TC",251.38,ACH_CREDIT,26378.26,,
CREDIT,02/11/2025,"ORIG CO NAME:MBHP Behav Z Val       ORIG ID:1043307857 DESC DATE:250207 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:111000025006752 EED:250211   IND ID:                             IND NAME:BOODAH INC                 TRN*1*0002190024*1541414194\ TRN: 0425006752TC",251.38,ACH_CREDIT,26126.88,,
CREDIT,02/11/2025,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000013898756 EED:250211   IND ID:ST-O5W8E8M0N7G0              IND NAME:BOODAH INC TRN: 0423898756TC",1506.60,ACH_CREDIT,25875.50,,
DEBIT,02/10/2025,"ORIG CO NAME:KEY MERCHANT SVS       ORIG ID:2580215200 DESC DATE:250208 CO ENTRY DESCR:DISCOUNT  SEC:CCD    TRACE#:041001038680661 EED:250210   IND ID:896246463880                 IND NAME:BOSTON PSYCHOLOGICAL T                                                                                       1-800-304-9856 TRN: 0418680661TC",-5.39,ACH_DEBIT,24368.90,,
DEBIT,02/10/2025,"ORIG CO NAME:KEY MERCHANT SVS       ORIG ID:2580215200 DESC DATE:250207 CO ENTRY DESCR:DISCOUNT  SEC:CCD    TRACE#:041001038680658 EED:250210   IND ID:896246463880                 IND NAME:BOSTON PSYCHOLOGICAL T                                                                                       1-800-304-9856 TRN: 0418680658TC",-8.13,ACH_DEBIT,24374.29,,
DEBIT,02/10/2025,"ORIG CO NAME:CAPITAL ONE            ORIG ID:9279744380 DESC DATE:250208 CO ENTRY DESCR:MOBILE PMTSEC:CCD    TRACE#:056073610405874 EED:250210   IND ID:42SB80BT1WML1XC              IND NAME:COLLEEN GALLICCHIO TRN: 0410405874TC",-7000.00,ACH_DEBIT,24382.42,,
DEBIT,02/10/2025,"ORIG CO NAME:VENMO                  ORIG ID:3264681992 DESC DATE:250207 CO ENTRY DESCR:PAYMENT   SEC:WEB    TRACE#:091000015634311 EED:250210   IND ID:1040138998254                IND NAME:COLLEEN GALLICCHIO TRN: 0415634311TC",-273.03,MISC_DEBIT,31382.42,,
DEBIT,02/10/2025,"ORIG CO NAME:THE HARTFORD           ORIG ID:9942902727 DESC DATE:       CO ENTRY DESCR:INSPMTCL  SEC:CCD    TRACE#:051000019392945 EED:250210   IND ID:15801127                     IND NAME:BOODAH INC                                                                                                   NWTBS CL SCIC ACH C TRN: 0419392945TC",-504.71,ACH_DEBIT,31655.45,,
DEBIT,02/10/2025,"ORIG CO NAME:VENMO                  ORIG ID:3264681992 DESC DATE:250207 CO ENTRY DESCR:PAYMENT   SEC:WEB    TRACE#:091000015634363 EED:250210   IND ID:1040139011392                IND NAME:COLLEEN GALLICCHIO TRN: 0415634363TC",-1043.75,MISC_DEBIT,32160.16,,
DEBIT,02/10/2025,"ORIG CO NAME:AEGON USA              ORIG ID:1420947998 DESC DATE:SEP 05 CO ENTRY DESCR:CONTRIBUTESEC:CCD    TRACE#:091000015516348 EED:250210   IND ID:20250207922JQT               IND NAME:935014    00000            20250207922JQT4696945654377560028CO RP TRN: 0415516348TC",-1943.09,ACH_DEBIT,33203.91,,
CREDIT,02/10/2025,"ORIG CO NAME:COMM OF MASS           ORIG ID:A046002284 DESC DATE:250207 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:022000040364590 EED:250210   IND ID:VC0001203281                 IND NAME:BOODAH INC                 TRN*1*0000038I5000471*1046002284*10 6157868\                                      TREVENDOR TRN: 0410364590TC",25.15,ACH_CREDIT,35147.00,,
CREDIT,02/10/2025,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000010174345 EED:250210   IND ID:ST-K4K4Y5X7E7U9              IND NAME:BOODAH INC TRN: 0410174345TC",136.05,ACH_CREDIT,35121.85,,
CREDIT,02/10/2025,"ORIG CO NAME:EASYPAY                ORIG ID:1340797057 DESC DATE:250209 CO ENTRY DESCR:MRCHNTSRVSSEC:CCD    TRACE#:041001038680625 EED:250210   IND ID:896246463880                 IND NAME:BOODAH INC TRN: 0418680625TC",165.00,ACH_CREDIT,34985.80,,
CREDIT,02/10/2025,"ORIG CO NAME:EASYPAY                ORIG ID:1340797057 DESC DATE:250208 CO ENTRY DESCR:MRCHNTSRVSSEC:CCD    TRACE#:041001038680614 EED:250210   IND ID:896246463880                 IND NAME:BOODAH INC TRN: 0418680614TC",239.00,ACH_CREDIT,34820.80,,
CREDIT,02/10/2025,"ORIG CO NAME:EASYPAY                ORIG ID:1340797057 DESC DATE:250207 CO ENTRY DESCR:MRCHNTSRVSSEC:CCD    TRACE#:041001036065103 EED:250210   IND ID:896246463880                 IND NAME:BOODAH INC TRN: 0416065103TC",395.48,ACH_CREDIT,34581.80,,
DEBIT,02/07/2025,"ORIG CO NAME:KEY MERCHANT SVS       ORIG ID:2580215200 DESC DATE:250206 CO ENTRY DESCR:DISCOUNT  SEC:CCD    TRACE#:041001034619303 EED:250207   IND ID:896246463880                 IND NAME:BOSTON PSYCHOLOGICAL T                                                                                       1-800-304-9856 TRN: 0384619303TC",-12.37,ACH_DEBIT,34186.32,,
DEBIT,02/07/2025,"ORIG CO NAME:PAY PLUS               ORIG ID:5452579291 DESC DATE:250206 CO ENTRY DESCR:ACHTrans  SEC:CCD    TRACE#:101000694401632 EED:250207   IND ID:54676298                     IND NAME:Default debit account      FeeTransfer REF#54676298                                                          PPSACCOUNT TRN: 0384401632TC",-3.84,ACH_DEBIT,34198.69,,
DEBIT,02/07/2025,"ORIG CO NAME:AEGON USA              ORIG ID:1420947998 DESC DATE:SEP 05 CO ENTRY DESCR:CONTRIBUTESEC:CCD    TRACE#:091000014654947 EED:250207   IND ID:20250206922K22               IND NAME:935014    00000            20250206922K224696945654377560028CO RP TRN: 0384654947TC",-747.81,ACH_DEBIT,34202.53,,
CREDIT,02/07/2025,"ORIG CO NAME:EASYPAY                ORIG ID:1340797057 DESC DATE:250206 CO ENTRY DESCR:MRCHNTSRVSSEC:CCD    TRACE#:041001034533684 EED:250207   IND ID:896246463880                 IND NAME:BOODAH INC TRN: 0384533684TC",25.00,ACH_CREDIT,34950.34,,
CREDIT,02/07/2025,"ORIG CO NAME:HPHC INSURANCE         ORIG ID:2043149694 DESC DATE:250205 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:051000016696988 EED:250207   IND ID:                             IND NAME:BOODAH INC                 TRN*1*3007505107*1043149694*HPHC\ TRN: 0386696988TC",139.98,ACH_CREDIT,34925.34,,
CREDIT,02/07/2025,"ORIG CO NAME:HPHC EFT CLEARI        ORIG ID:8042452600 DESC DATE:250205 CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:051000016696976 EED:250207   IND ID:                             IND NAME:BOODAH INC                 TRN*1*502424521*1042452600*HPHC\ TRN: 0386696976TC",247.84,ACH_CREDIT,34785.36,,
CREDIT,02/07/2025,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000013900893 EED:250207   IND ID:ST-U7R5U8U3L1S9              IND NAME:BOODAH INC TRN: 0383900893TC",1354.56,ACH_CREDIT,34537.52,,
CREDIT,02/07/2025,"ORIG CO NAME:WELLPOINT 05C          ORIG ID:0365BA293A DESC DATE:       CO ENTRY DESCR:HCCLAIMPMTSEC:CCD    TRACE#:111000026457422 EED:250207   IND ID:3263125812                   IND NAME:BOODAH  INC                TRN*1*3263125812*1520913817\                                                      EDI PAYMENT TRN: 0386457422TC",2394.89,ACH_CREDIT,33182.96,,
